,name,area,city,specialization,consultationfee,rating,experience,hospitalname,stories
0,Dr. Hemant Sharma,Pusa Road,Delhi,Dermatologist,1500,96,48,BLK-Max Super Speciality Hospital,46
1,Dr. Sirisha Singh,Greater Kailash Part 1,Delhi,Dermatologist,1500,97,29,SCI International Hospital,101
2,Dr. Tanvi Pal,Pusa Road,Delhi,Dermatologist,1500,97,19,BLK-Max Super Speciality Hospital,26
3,Dr. Pallav S Kishanpuria,Pusa Road,Delhi,Dermatologist,1500,93,19,BLK-Max Super Speciality Hospital,32
4,Dr. A J Kanwar,Greater Kailash Part 1,Delhi,Dermatologist,1500,96,52,Dr AJ Kanwar Skin Clinic,398
5,Dr. Deepti  Shrivastava,Anand Vihar,Delhi,Dermatologist,1000,95,28,Skin Hair & You,348
6,Dr. Richa Sharma,Dwarka,Delhi,Dermatologist,1500,96,26,Twacha Skin Clinic,143
7,Dr. Jalpa Jani,Greater Kailash Part 2,Delhi,Dermatologist,1000,96,21,Klarity Skin Clinic,70
8,Dr. Divya Aggarwal,Shalimar Bagh,Delhi,Dermatologist,800,98,21,Max Super Speciality Hospital,509
9,Dr. Prateek Sondhi,South Extension 2,Delhi,Dermatologist,1200,96,13,Derma Circles: Doctors from AIIMS,401
10,Dr. Arihant Surana,Defence Colony,Delhi,Dermatologist,1000,96,23,Monaris Skin and Hair Clinic,126
11,Dr. Mudasir Khan,Jasola,Delhi,Dermatologist,800,95,29,Lush Skin and Hair Clinic,97
12,Dr. Manisha Chopra,Greater Kailash Part 2,Delhi,Dermatologist,1000,97,25,Derma Plus,79
13,Dr. Tapesh Sharma,Dwarka,Delhi,Dermatologist,1500,97,25,Twacha Skin Clinic,318
14,Dr. Indu Ballani,Pusa Road,Delhi,Dermatologist,1300,91,18,BLK-Max Super Speciality Hospital,18
15,Dr. Pradeep Bansal,Shalimar Bagh,Delhi,Dermatologist,900,96,20,Bansal's skin & smile clinic,165
16,Dr. Nipun Jain,Dwarka,Delhi,Dermatologist,800,98,26,Aura Skin Cosmetology Clinic,244
17,Dr. Rakesh,Pitampura,Delhi,Dermatologist,1000,94,12,Rakshaa Aesthetics,128
18,Dr. Pranjal Joshi,Shivalik,Delhi,Dermatologist,900,94,12,Varsity Skin And Wellness Clinic,34
19,Dr. Syed Nazim Hussain,Saket,Delhi,Dermatologist,1500,86,18,Royal Lush Skin Hair & Laser Clinic,67
20,Dr. Navnit Haror,Greater Kailash Part 1,Delhi,Dermatologist,1000,88,10,Derma Miracle Skin And Hair Transplant Clinic,145
21,Dr. Gaurav Garg,Green Park,Delhi,Dermatologist,1500,92,16,Dermalife Skin Hair Clinic,101
22,Dr. Kashish Kalra,Saket,Delhi,Dermatologist,1000,96,16,Max Smart Superspeciality Hospital,17
23,Dr. Prakash Kumar Khute,Greater Kailash Part 1,Delhi,Dermatologist,1000,98,12,Skinroots- Skin And Hair Transplant Clinic,123
24,Dr. Rashmi Sharma,Panchsheel Park,Delhi,Dermatologist,1200,89,14,Rosewalk By Rainbow Hospitals,36
25,Dr. Renu Madan,Dwarka,Delhi,Dermatologist,700,98,25,Aanya Skin Care Cosmetic and Cardio Diabetic Centre,48
26,Dr. Jatin Sidhwa,Vasant Kunj,Delhi,Dermatologist,1000,99,8,SIDHWA SKIN CLINIC,60
27,Dr. Geetali Kharghoria,Defence Colony,Delhi,Dermatologist,800,94,8,Monaris Skin and Hair Clinic,11
28,Dr. Bhavna Mangla,Pitampura,Delhi,Dermatologist,1000,99,21,Skin Mantraa,250
29,Dr. Divya Chowdhry,Pusa Road,Delhi,Dermatologist,1500,44,15,BLK-Max Super Speciality Hospital,5
30,Dr. Kanu Verma,Dwarka,Delhi,Dermatologist,1000,94,21,Aastha Medicare,76
31,Dr. Ridhima Yadava,Punjabi Bagh,Delhi,Dermatologist,700,100,12,Oliva Skin & Hair Clinic,190
32,Dr. Ritu Gupta,Patparganj,Delhi,Dermatologist,800,85,25,Max Super Speciality Hospital,55
33,Dr. Mahima Wadhwa,Shalimar Bagh,Delhi,Dermatologist,800,100,12,Dr Mahima Wadhwa Skin CliniQ,73
34,Dr. Shirin Bakshi,Saket,Delhi,Dermatologist,1000,100,6,Max Smart Superspeciality Hospital,5
35,Dr. Praveen Kumar,Rohini,Delhi,Dermatologist,500,100,5,Aksh Skin & Hair Clinic,20
36,Dr. S.B Shrivastava,Paschim Vihar,Delhi,Dermatologist,800,89,38,Skin and Gynae Consultation,13
37,Dr. Nitika Nijhara,Patel Nagar East,Delhi,Dermatologist,1100,97,8,Fortitude Skin & Hair Clinic,57
38,Dr. Amrendra kumar,Defence Colony,Delhi,Dermatologist,2000,92,16,Dermaclinix,260
39,Dr. Neha Taneja,Defence Colony,Delhi,Dermatologist,1000,100,9,Dermaclinix,1
40,Dr. Gunjan Virmani,Mayur Vihar Ph-I,Delhi,Dermatologist,700,100,12,Ojas Skin and Dental Care,21
41,Dr. Meenakshi Kapoor,Paschim Vihar,Delhi,Dermatologist,800,95,13,HeadSpace,42
42,Dr. Nitin S Walia,Saket,Delhi,Dermatologist,1500,96,37,Max Super Speciality Hospital - Saket West Wing,43
43,Dr. Shruti Gupta,Kamla Nagar,Delhi,Dermatologist,1000,99,13,SKINOS,1991
44,Dr. Kavish Chouhan,Defence Colony,Delhi,Dermatologist,2000,91,16,Dermaclinix,261
45,Dr. Sayyad Ajara,Defence Colony,Delhi,Dermatologist,1000,100,7,Dermaclinix,4
46,Dr. Archana Singh,Punjabi Bagh,Delhi,Dermatologist,700,100,7,Oliva Skin & Hair Clinic,15
